"Call No","Taken Date","Closed Date","Closed Year","Days With APT","Days With Customer","Total Days","Chargeable","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"158258","9 Jan 2013","23 Oct 2013","2013","170","35","205","N","N","0","0.00","0.74"
"158259","9 Jan 2013","22 Feb 2013","2013","31","1","32","N","N","0","0.00","3.31"
"158260","9 Jan 2013","10 Jan 2013","2013","1","0","1","N","N","0","0.00","0.33"
"158261","9 Jan 2013","14 Jan 2013","2013","0","3","3","N","N","0","0.00","1.16"
"158262","10 Jan 2013","20 Feb 2013","2013","1","28","29","U","","0","0.00","1.08"
"158263","10 Jan 2013","11 Jan 2013","2013","0","1","1","U","","0","0.00","0.41"
"158264","10 Jan 2013","15 Jan 2013","2013","3","0","3","N","N","0","0.00","3.50"
"158265","10 Jan 2013","15 May 2013","2013","87","2","89","N","N","0","0.00","1.63"
"158266","10 Jan 2013","10 Jan 2013","2013","0","0","0","N","N","0","0.00","0.25"
"158267","10 Jan 2013","12 Feb 2013","2013","20","3","23","Y","","3","0.00","2.23"
"158268","10 Jan 2013","25 Feb 2013","2013","21","11","32","Y","","2","0.00","1.39"
"158269","10 Jan 2013","24 Jan 2013","2013","3","7","10","N","N","0","0.00","0.58"
"158270","10 Jan 2013","21 Feb 2013","2013","29","1","30","Y","","4","0.00","0.16"
"158271","10 Jan 2013","11 Jan 2013","2013","0","1","1","N","N","0","0.00","0.58"
"158272","10 Jan 2013","14 Jan 2013","2013","2","0","2","N","N","0","0.00","0.32"
"158273","10 Jan 2013","15 Jan 2013","2013","3","0","3","N","N","0","0.00","1.74"
"158274","10 Jan 2013","11 Jan 2013","2013","1","0","1","U","","0","0.00","0.91"
"158275","10 Jan 2013","28 Jan 2013","2013","3","9","12","N","N","0","0.00","0.25"
"158276","10 Jan 2013","10 Feb 2014","2014","282","0","282","N","N","0","0.00","227.34"
"158277","10 Jan 2013","27 Mar 2013","2013","54","0","54","N","N","0","0.00","7.29"
"158278","10 Jan 2013","10 Jan 2013","2013","0","0","0","N","N","0","0.00","0.00"
"158279","11 Jan 2013","18 Mar 2013","2013","23","23","46","Y","N","1","0.00","1.23"
"158280","11 Jan 2013","27 Feb 2013","2013","0","33","33","N","N","0","0.00","0.41"
"158281","11 Jan 2013","22 Jan 2013","2013","7","0","7","U","","0","0.00","0.90"
"158282","11 Jan 2013","16 Jan 2013","2013","2","1","3","N","N","0","0.00","3.57"
"158283","11 Jan 2013","15 Jan 2013","2013","0","2","2","U","","0","0.00","0.41"
"158284","11 Jan 2013","11 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158285","11 Jan 2013","7 Feb 2013","2013","17","2","19","Y","N","1","0.00","1.88"
"158286","11 Jan 2013","4 Mar 2013","2013","0","36","36","U","","0","0.00","0.65"
"158287","11 Jan 2013","14 Jan 2013","2013","1","0","1","N","N","0","0.00","0.74"
"158288","11 Jan 2013","11 Jan 2013","2013","0","0","0","N","N","0","0.00","0.57"
"158289","14 Jan 2013","14 Jan 2013","2013","0","0","0","U","","0","0.00","0.50"
"158290","14 Jan 2013","22 May 2013","2013","4","88","92","N","N","0","0.00","2.65"
"158291","14 Jan 2013","15 Jan 2013","2013","1","0","1","N","N","0","0.00","0.74"
"158292","14 Jan 2013","12 Feb 2013","2013","15","6","21","N","N","0","0.00","0.25"
"158293","14 Jan 2013","15 Mar 2013","2013","25","19","44","N","N","0","0.00","2.08"
"158294","14 Jan 2013","6 Feb 2013","2013","0","17","17","N","N","0","0.00","1.33"
"158299","14 Jan 2013","18 Jun 2013","2013","111","0","111","Y","N","0","0.00","1.21"
"158300","14 Jan 2013","14 Jan 2013","2013","0","0","0","R","N","1","0.00","0.00"
"158301","14 Jan 2013","24 Apr 2013","2013","39","33","72","N","N","0","0.00","5.08"
"158302","14 Jan 2013","16 Jan 2013","2013","2","0","2","R","N","1","0.00","0.25"
"158303","14 Jan 2013","24 Jan 2013","2013","8","0","8","Y","N","1","0.00","1.41"
"158304","14 Jan 2013","14 Jan 2013","2013","0","0","0","U","","0","0.00","0.82"
"158305","14 Jan 2013","7 Feb 2013","2013","17","1","18","Y","N","2","0.00","2.82"
"158306","14 Jan 2013","27 Feb 2013","2013","0","32","32","N","","0","0.00","0.00"
"158307","14 Jan 2013","23 Jan 2013","2013","7","0","7","N","N","0","0.00","1.07"
"158308","14 Jan 2013","15 Jan 2013","2013","1","0","1","N","N","0","0.00","3.99"
"158309","14 Jan 2013","11 Mar 2013","2013","2","38","40","R","","1","0.00","0.99"
"158310","14 Jan 2013","15 Jan 2013","2013","0","1","1","U","","0","0.00","0.16"
"158311","14 Jan 2013","22 Jan 2013","2013","6","0","6","U","","0","0.00","0.00"
"158312","15 Jan 2013","27 Mar 2013","2013","32","19","51","U","","0","0.00","1.40"
"158313","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158314","15 Jan 2013","10 Apr 2013","2013","27","34","61","N","N","0","0.00","1.32"
"158315","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.50"
"158316","15 Jan 2013","17 Jan 2013","2013","0","2","2","U","","0","0.00","0.66"
"158317","15 Jan 2013","28 Jan 2013","2013","0","9","9","N","N","0","0.00","0.08"
"158318","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.08"
"158319","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.25"
"158320","15 Jan 2013","13 Mar 2013","2013","6","35","41","N","N","0","0.00","1.57"
"158321","15 Jan 2013","29 Jan 2013","2013","3","7","10","Y","N","0","0.00","0.33"
"158322","15 Jan 2013","17 Jan 2013","2013","2","0","2","N","N","0","0.00","1.07"
"158323","15 Jan 2013","6 Mar 2013","2013","20","16","36","N","N","0","0.00","0.90"
"158324","15 Jan 2013","6 Feb 2013","2013","15","1","16","N","N","0","0.00","0.74"
"158325","15 Jan 2013","3 Apr 2013","2013","23","33","56","N","N","0","0.00","1.25"
"158326","15 Jan 2013","28 Jan 2013","2013","9","0","9","N","N","0","0.00","0.08"
"158327","15 Jan 2013","15 Jan 2013","2013","0","0","0","U","","0","0.00","0.33"
"158328","15 Jan 2013","17 Jan 2013","2013","2","0","2","Y","N","1","0.00","0.00"
"158329","15 Jan 2013","17 Jan 2013","2013","2","0","2","N","N","0","0.00","1.65"
"158330","15 Jan 2013","24 Jan 2013","2013","3","4","7","Y","N","3","0.00","2.00"
"158331","16 Jan 2013","28 Aug 2013","2013","148","12","160","Y","","0","0.00","127.19"
"158332","16 Jan 2013","16 Jan 2013","2013","0","0","0","N","","0","0.00","0.58"
"158333","16 Jan 2013","24 Jan 2013","2013","6","0","6","Y","","0","0.00","0.00"
"158334","16 Jan 2013","24 Jan 2013","2013","2","4","6","U","","0","0.00","0.33"
"158335","16 Jan 2013","14 Mar 2013","2013","19","22","41","Y","N","1","0.00","2.63"
"158336","16 Jan 2013","20 Feb 2013","2013","0","25","25","N","N","0","0.00","1.00"
"158337","16 Jan 2013","16 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158338","16 Jan 2013","15 Feb 2013","2013","22","0","22","U","","0","0.00","1.74"
"158339","16 Jan 2013","17 Jan 2013","2013","1","0","1","N","N","0","0.00","0.40"
"158340","16 Jan 2013","19 Apr 2013","2013","32","35","67","Y","N","9","0.00","7.37"
"158341","16 Jan 2013","24 Jan 2013","2013","6","0","6","Y","N","1","0.00","38.79"
"158342","16 Jan 2013","18 Jan 2013","2013","0","2","2","N","N","0","0.00","0.25"
"158343","16 Jan 2013","21 Jan 2013","2013","0","3","3","U","","0","0.00","0.58"
"158344","16 Jan 2013","11 Feb 2013","2013","3","15","18","R","N","0","0.00","2.66"
"158345","16 Jan 2013","21 Jan 2013","2013","0","3","3","U","","0","0.00","1.08"
"158346","16 Jan 2013","27 Jan 2014","2014","198","70","268","Y","N","0","0.00","7.75"
"158347","16 Jan 2013","17 Jan 2013","2013","0","1","1","N","N","0","0.00","0.41"
"158348","17 Jan 2013","7 Mar 2013","2013","24","11","35","R","","1","0.00","1.05"
"158349","17 Jan 2013","21 Mar 2013","2013","3","42","45","N","","0","0.00","2.99"
"158350","17 Jan 2013","28 Feb 2013","2013","2","28","30","U","","0","0.00","3.74"
"158351","17 Jan 2013","31 Jan 2013","2013","0","10","10","N","N","0","0.00","0.33"
"158352","17 Jan 2013","21 Jan 2013","2013","1","1","2","U","","0","0.00","1.16"
"158353","17 Jan 2013","27 Mar 2013","2013","16","33","49","U","","0","0.00","0.99"
"158354","17 Jan 2013","25 Sep 2013","2013","157","22","179","U","","0","0.00","2.13"
"158355","17 Jan 2013","17 Jan 2013","2013","0","0","0","U","","0","0.00","0.00"
"158356","17 Jan 2013","16 Apr 2013","2013","49","14","63","U","","0","0.00","3.64"
"158357","17 Jan 2013","12 Feb 2013","2013","15","3","18","Y","N","1","0.00","4.07"
"158358","17 Jan 2013","14 Apr 2014","2014","322","0","322","R","N","0","0.00","0.00"
"158359","17 Jan 2013","16 Sep 2013","2013","172","0","172","R","N","0","0.00","0.00"
"158360","17 Jan 2013","16 Sep 2013","2013","172","0","172","R","N","0","0.00","0.00"
"158361","17 Jan 2013","16 Sep 2013","2013","172","0","172","R","N","1","0.00","0.00"
"158362","17 Jan 2013","16 Sep 2013","2013","172","0","172","N","N","0","0.00","0.00"
"158363","17 Jan 2013","2 May 2013","2013","75","0","75","N","N","0","0.00","0.00"
"158364","17 Jan 2013","2 May 2013","2013","75","0","75","N","N","0","0.00","0.00"
"158365","17 Jan 2013","17 Jan 2013","2013","0","0","0","N","N","0","0.00","1.07"
"158366","17 Jan 2013","27 Feb 2013","2013","0","29","29","N","N","0","0.00","0.16"
"158367","17 Jan 2013","17 Jan 2013","2013","0","0","0","N","N","0","0.00","0.16"
"158368","17 Jan 2013","10 Dec 2014","2014","28","102","130","N","N","0","0.00","3.73"
"158369","17 Jan 2013","18 Feb 2014","2014","186","63","249","N","N","0","0.00","4.37"
"158370","17 Jan 2013","24 Jan 2013","2013","5","0","5","Y","N","0","0.00","0.00"
"158371","18 Jan 2013","20 Feb 2013","2013","0","23","23","U","","0","0.00","0.50"
"158372","18 Jan 2013","18 Jan 2013","2013","0","0","0","N","N","0","0.00","0.25"
"158373","18 Jan 2013","28 Aug 2013","2013","0","158","158","U","","0","0.00","0.56"
"158374","18 Jan 2013","17 Sep 2013","2013","172","0","172","U","Y","0","0.00","110.36"
"158375","18 Jan 2013","21 Feb 2013","2013","17","7","24","Y","N","1","0.00","0.66"
"158376","18 Jan 2013","18 Jan 2013","2013","0","0","0","N","N","0","0.00","0.32"
"158377","18 Jan 2013","19 Sep 2013","2013","174","0","174","N","N","0","0.00","10.91"
"158378","18 Jan 2013","21 Jan 2013","2013","0","1","1","U","","0","0.00","0.41"
"158379","21 Jan 2013","28 Feb 2013","2013","21","7","28","Y","","4","0.00","10.63"
"158380","21 Jan 2013","28 May 2013","2013","16","75","91","Y","","1","0.00","3.02"
"158381","21 Jan 2013","13 Feb 2013","2013","7","10","17","Y","","3","0.00","4.89"
"158382","21 Jan 2013","7 Feb 2013","2013","7","6","13","Y","","1","0.00","2.39"
"158383","21 Jan 2013","21 Jan 2013","2013","0","0","0","U","","0","0.00","0.33"
"158384","21 Jan 2013","21 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158385","21 Jan 2013","21 Jan 2013","2013","0","0","0","U","","0","0.00","0.50"
"158386","21 Jan 2013","8 Apr 2013","2013","13","42","55","R","N","3","0.00","0.81"
"158387","21 Jan 2013","14 Feb 2013","2013","11","7","18","Y","N","3","0.00","4.32"
"158388","21 Jan 2013","21 Jan 2013","2013","0","0","0","N","N","0","0.00","0.00"
"158389","21 Jan 2013","22 Jan 2013","2013","1","0","1","U","","0","0.00","0.91"
"158390","21 Jan 2013","8 Feb 2013","2013","14","0","14","N","N","0","0.00","1.07"
"158391","21 Jan 2013","27 Mar 2013","2013","12","35","47","U","","0","0.00","0.00"
"158392","21 Jan 2013","23 Jan 2013","2013","0","2","2","N","N","0","0.00","0.50"
"158393","21 Jan 2013","11 Mar 2013","2013","35","0","35","N","","0","0.00","0.00"
"158394","21 Jan 2013","21 Jan 2013","2013","0","0","0","U","","0","0.00","0.25"
"158395","21 Jan 2013","30 Jan 2013","2013","6","1","7","U","","0","0.00","4.30"
"158396","21 Jan 2013","22 Jan 2013","2013","1","0","1","U","","0","0.00","0.74"
"158397","21 Jan 2013","21 Jan 2013","2013","0","0","0","U","","0","0.00","0.00"
"158402","21 Jan 2013","21 Jan 2013","2013","0","0","0","N","N","0","0.00","0.00"
"158404","22 Jan 2013","23 Jan 2013","2013","1","0","1","U","","0","0.00","0.49"
"158405","22 Jan 2013","8 Mar 2013","2013","30","3","33","U","","0","0.00","5.80"
"158406","22 Jan 2013","23 Apr 2013","2013","19","46","65","N","N","0","0.00","1.98"
"158407","22 Jan 2013","24 Jan 2013","2013","2","0","2","Y","Y","0","0.00","0.00"
"158408","22 Jan 2013","22 Jan 2013","2013","0","0","0","U","","0","0.00","0.33"
"158409","22 Jan 2013","12 Sep 2013","2013","167","0","167","Y","Y","0","0.00","0.00"
"158410","22 Jan 2013","30 Sep 2013","2013","179","0","179","Y","Y","0","0.00","0.00"
"158411","22 Jan 2013","23 Jan 2013","2013","1","0","1","N","N","0","0.00","0.33"
"158412","22 Jan 2013","17 Sep 2013","2013","170","0","170","U","Y","0","0.00","4.25"
"158413","22 Jan 2013","23 Jan 2013","2013","1","0","1","U","Y","0","0.00","1.24"
"158414","22 Jan 2013","17 Sep 2013","2013","170","0","170","U","Y","0","0.00","4.25"
"158415","22 Jan 2013","22 Jul 2013","2013","125","4","129","Y","N","3","0.00","5.22"
"158416","22 Jan 2013","22 Jan 2013","2013","0","0","0","U","","0","0.00","0.25"
"158417","22 Jan 2013","22 Jan 2013","2013","0","0","0","U","","0","0.00","0.33"
"158418","22 Jan 2013","19 Feb 2013","2013","1","19","20","Y","N","2","0.00","0.00"
"158419","22 Jan 2013","22 Jan 2013","2013","0","0","0","U","","0","0.00","0.25"
"158420","22 Jan 2013","24 Jan 2013","2013","2","0","2","Y","Y","30","0.00","26.80"
"158421","22 Jan 2013","12 Feb 2013","2013","13","2","15","Y","N","2","0.00","0.00"
"158422","22 Jan 2013","22 Jan 2013","2013","0","0","0","U","N","0","0.00","0.58"
"158423","22 Jan 2013","13 Mar 2013","2013","4","32","36","U","","0","0.00","1.24"
"158424","23 Jan 2013","28 Feb 2013","2013","4","22","26","U","","0","0.00","1.74"
"158425","23 Jan 2013","23 Jan 2013","2013","0","0","0","N","N","0","0.00","0.08"
"158426","23 Jan 2013","5 Feb 2013","2013","0","9","9","N","N","0","0.00","0.08"
"158427","23 Jan 2013","20 Feb 2013","2013","0","20","20","N","N","0","0.00","0.83"
"158428","23 Jan 2013","23 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158429","23 Jan 2013","13 Mar 2013","2013","0","35","35","N","N","0","0.00","2.49"
"158430","23 Jan 2013","20 Feb 2013","2013","0","20","20","N","N","0","0.00","0.41"
"158431","23 Jan 2013","22 May 2013","2013","3","82","85","U","N","0","0.00","0.33"
"158432","23 Jan 2013","23 Jan 2013","2013","0","0","0","N","N","0","0.00","0.91"
"158433","23 Jan 2013","30 Jan 2013","2013","5","0","5","U","","0","0.00","0.82"
"158434","23 Jan 2013","23 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158435","23 Jan 2013","31 Jan 2013","2013","0","6","6","U","","0","0.00","0.25"
"158436","23 Jan 2013","27 Mar 2013","2013","0","45","45","N","N","0","0.00","0.16"
"158437","23 Jan 2013","21 Feb 2013","2013","6","15","21","U","","0","0.00","2.22"
"158438","23 Jan 2013","7 Feb 2013","2013","0","11","11","U","","0","0.00","0.33"
"158439","23 Jan 2013","13 Mar 2013","2013","0","35","35","N","N","0","0.00","0.74"
"158440","23 Jan 2013","23 Dec 2013","2013","238","0","238","Y","Y","0","0.00","0.00"
"158441","23 Jan 2013","15 Mar 2013","2013","37","0","37","U","Y","0","0.00","0.00"
"158442","24 Jan 2013","25 Jan 2013","2013","0","1","1","U","","0","0.00","0.25"
"158443","24 Jan 2013","28 Feb 2013","2013","24","1","25","Y","","1","0.00","1.48"
"158444","24 Jan 2013","6 Nov 2013","2013","204","0","204","N","N","0","0.00","0.73"
"158445","24 Jan 2013","5 Feb 2013","2013","8","0","8","N","N","0","0.00","4.13"
"158446","24 Jan 2013","24 Jan 2013","2013","0","0","0","N","N","0","0.00","1.57"
"158447","24 Jan 2013","25 Jan 2013","2013","1","0","1","Y","N","1","0.00","0.00"
"158448","24 Jan 2013","13 May 2013","2013","46","31","77","U","","0","0.00","2.65"
"158449","24 Jan 2013","25 Jan 2013","2013","1","0","1","N","N","0","0.00","0.66"
"158450","24 Jan 2013","17 Jun 2013","2013","102","0","102","Y","N","0","0.00","7.35"
"158451","24 Jan 2013","17 Jun 2013","2013","102","0","102","Y","N","0","0.00","0.00"
"158452","24 Jan 2013","2 Jun 2015","2015","228","0","228","N","N","0","2.00","4.91"
"158453","24 Jan 2013","1 Feb 2013","2013","5","1","6","R","N","3","0.00","7.56"
"158454","24 Jan 2013","24 Jan 2013","2013","0","0","0","N","N","0","0.00","0.00"
"158455","24 Jan 2013","6 Jun 2013","2013","95","0","95","U","Y","0","0.00","0.00"
"158456","24 Jan 2013","16 Jul 2013","2013","123","0","123","Y","Y","0","0.00","0.00"
"158457","24 Jan 2013","16 Jul 2013","2013","123","0","123","Y","Y","0","0.00","0.00"
"158458","25 Jan 2013","7 Mar 2013","2013","21","8","29","Y","","1","0.00","2.06"
"158459","25 Jan 2013","21 Feb 2013","2013","10","9","19","U","","0","0.00","2.38"
"158460","25 Jan 2013","28 Jan 2013","2013","1","0","1","N","N","0","0.00","0.58"
"158461","25 Jan 2013","28 Jan 2013","2013","0","1","1","U","","0","0.00","2.82"
"158462","25 Jan 2013","21 May 2013","2013","4","78","82","U","","0","0.00","2.39"
"158463","25 Jan 2013","13 Mar 2013","2013","18","15","33","N","N","0","0.00","0.66"
"158464","25 Jan 2013","25 Feb 2013","2013","21","0","21","U","","0","0.00","6.46"
"158465","25 Jan 2013","21 Jan 2016","2016","767","12","779","U","","0","0.00","0.00"
"158466","25 Jan 2013","25 Jan 2013","2013","0","0","0","N","N","0","0.00","0.50"
"158467","25 Jan 2013","10 Jul 2013","2013","14","104","118","Y","N","4","0.00","3.31"
"158468","25 Jan 2013","25 Jan 2013","2013","0","0","0","N","N","0","0.00","90.89"
"158469","25 Jan 2013","28 Jan 2013","2013","0","1","1","N","N","0","0.00","0.25"
"158470","25 Jan 2013","28 Jan 2013","2013","0","1","1","N","N","0","0.00","0.58"
"158471","25 Jan 2013","25 Jan 2013","2013","0","0","0","N","N","0","0.00","0.16"
"158472","25 Jan 2013","13 Mar 2013","2013","1","32","33","U","","0","0.00","2.49"
"158473","25 Jan 2013","29 Jan 2013","2013","1","1","2","N","N","0","0.00","0.57"
"158474","27 Jan 2013","28 Jan 2013","2013","1","0","1","Y","Y","0","0.00","0.00"
"158475","28 Jan 2013","29 Jan 2013","2013","1","0","1","N","N","0","0.00","0.49"
"158478","28 Jan 2013","12 Feb 2013","2013","9","2","11","Y","","8","0.00","7.14"
"158479","28 Jan 2013","10 Jul 2013","2013","23","72","95","N","N","0","0.00","1.73"
"158480","28 Jan 2013","6 Feb 2013","2013","0","7","7","N","N","0","0.00","0.66"
"158481","28 Jan 2013","19 Jul 2013","2013","88","36","124","U","","0","0.00","1.91"
"158482","28 Jan 2013","28 Jan 2013","2013","0","0","0","N","N","0","0.00","0.66"
"158483","28 Jan 2013","28 Jan 2013","2013","0","0","0","N","","0","0.00","0.00"
"158484","28 Jan 2013","22 May 2013","2013","46","36","82","N","N","0","0.00","1.23"
"158485","28 Jan 2013","28 Feb 2013","2013","14","9","23","Y","","2","0.00","0.74"
"158486","28 Jan 2013","7 Feb 2013","2013","1","7","8","U","","0","0.00","0.82"
"158487","29 Jan 2013","9 May 2013","2013","48","24","72","U","","0","0.00","6.47"
"158488","29 Jan 2013","1 Feb 2013","2013","0","3","3","U","","0","0.00","2.99"
"158489","29 Jan 2013","30 Jan 2013","2013","0","1","1","N","N","0","0.00","0.57"
"158490","29 Jan 2013","4 Feb 2013","2013","2","2","4","N","N","0","0.00","0.24"
"158491","29 Jan 2013","29 Jan 2013","2013","0","0","0","N","N","0","0.00","0.41"
"158492","29 Jan 2013","27 Feb 2013","2013","0","21","21","U","","0","0.00","1.81"
"158493","29 Jan 2013","29 Jan 2013","2013","0","0","0","R","N","1","0.00","0.00"
"158494","29 Jan 2013","13 Mar 2013","2013","1","30","31","N","N","0","0.00","0.58"
"158496","29 Jan 2013","29 Jan 2013","2013","0","0","0","Y","N","6","0.00","0.00"
"158497","29 Jan 2013","31 Jan 2013","2013","0","2","2","U","","0","0.00","0.25"
"158498","29 Jan 2013","29 Jan 2013","2013","0","0","0","N","N","0","0.00","0.83"
"158499","29 Jan 2013","31 Jan 2013","2013","0","2","2","N","N","0","0.00","1.33"
"158500","29 Jan 2013","15 May 2013","2013","76","0","76","N","N","0","0.00","2.77"
"158501","29 Jan 2013","31 Jan 2013","2013","0","2","2","N","N","0","0.00","0.83"
"158502","29 Jan 2013","5 Feb 2013","2013","0","5","5","N","N","0","0.00","0.66"
"158503","29 Jan 2013","30 Jan 2013","2013","0","1","1","N","N","0","0.00","0.90"
"158504","29 Jan 2013","28 Feb 2013","2013","0","22","22","N","N","0","0.00","0.49"
"158505","30 Jan 2013","22 Feb 2013","2013","5","12","17","R","","1","0.00","0.41"
"158506","30 Jan 2013","20 Mar 2013","2013","1","34","35","Y","","1","0.00","0.00"
"158507","30 Jan 2013","7 Feb 2013","2013","1","5","6","Y","","6","0.00","6.48"
"158508","30 Jan 2013","27 Feb 2013","2013","20","0","20","U","","0","0.00","0.50"
"158509","30 Jan 2013","11 Feb 2013","2013","8","0","8","N","N","0","0.00","0.00"
"158510","30 Jan 2013","30 Jan 2013","2013","0","0","0","N","N","0","0.00","0.91"
"158511","30 Jan 2013","30 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158512","30 Jan 2013","20 Mar 2013","2013","0","35","35","U","","0","0.00","1.49"
"158513","30 Jan 2013","7 Mar 2013","2013","10","16","26","U","","0","0.00","0.25"
"158514","30 Jan 2013","30 Jan 2013","2013","0","0","0","N","N","0","0.00","0.16"
"158515","30 Jan 2013","10 Apr 2013","2013","15","35","50","N","N","0","0.00","0.32"
"158516","30 Jan 2013","21 Mar 2013","2013","9","27","36","Y","N","1","0.00","1.58"
"158517","31 Jan 2013","5 Apr 2013","2013","17","29","46","Y","","3","0.00","1.06"
"158518","31 Jan 2013","6 Mar 2013","2013","0","24","24","U","","0","0.00","1.83"
"158519","31 Jan 2013","31 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158520","31 Jan 2013","5 Jun 2013","2013","36","53","89","U","","0","0.00","2.41"
"158521","31 Jan 2013","6 Feb 2013","2013","1","3","4","N","N","0","0.00","2.90"
"158522","31 Jan 2013","20 Mar 2013","2013","0","34","34","U","","0","0.00","0.16"
"158523","31 Jan 2013","4 Feb 2013","2013","0","2","2","N","N","0","0.00","0.83"
"158524","31 Jan 2013","1 Feb 2013","2013","1","0","1","N","N","0","0.00","0.33"
"158525","31 Jan 2013","27 Feb 2013","2013","0","19","19","N","N","0","0.00","1.08"
"158526","31 Jan 2013","1 Feb 2013","2013","1","0","1","N","N","0","0.00","0.57"
"158527","31 Jan 2013","1 Feb 2013","2013","1","0","1","R","","1","0.00","0.00"
"158528","1 Feb 2013","20 Mar 2013","2013","17","16","33","Y","","2","0.00","3.64"
"158529","1 Feb 2013","5 Feb 2013","2013","1","1","2","U","","0","0.00","0.66"
"158530","1 Feb 2013","27 Mar 2013","2013","2","36","38","R","","50","0.00","0.58"
"158531","1 Feb 2013","1 Feb 2013","2013","0","0","0","N","N","0","0.00","0.66"
"158532","1 Feb 2013","12 Feb 2013","2013","2","5","7","Y","N","1","0.00","1.50"
"158533","1 Feb 2013","13 Feb 2013","2013","0","8","8","N","N","0","0.00","0.49"
"158534","1 Feb 2013","17 Sep 2013","2013","162","0","162","N","Y","0","0.00","3.66"
"158535","1 Feb 2013","1 Feb 2013","2013","0","0","0","N","N","0","0.00","0.83"
"158536","1 Feb 2013","27 Mar 2013","2013","3","35","38","Y","N","1","0.00","0.33"
"158537","1 Feb 2013","23 May 2013","2013","79","0","79","N","","0","0.00","0.16"
"158538","1 Feb 2013","1 Feb 2013","2013","0","0","0","N","N","0","0.00","0.58"
"158539","1 Feb 2013","7 Mar 2013","2013","15","9","24","N","N","0","0.00","4.07"
"158540","1 Feb 2013","4 Feb 2013","2013","1","0","1","N","N","0","0.00","0.00"
"158541","1 Feb 2013","3 Apr 2013","2013","11","32","43","N","N","0","0.00","2.50"
"158542","1 Feb 2013","3 Jul 2013","2013","3","84","87","N","N","0","0.00","3.89"
"158543","1 Feb 2013","5 Feb 2013","2013","1","1","2","N","N","0","0.00","0.91"
"158544","1 Feb 2013","1 Feb 2013","2013","0","0","0","N","N","0","0.00","0.16"
"158545","1 Feb 2013","23 Oct 2013","2013","113","75","188","N","N","0","0.00","1.47"
"158546","1 Feb 2013","6 Mar 2013","2013","3","20","23","N","N","0","0.00","1.82"
"158547","4 Feb 2013","19 Mar 2013","2013","11","20","31","U","","0","0.00","3.82"
"158548","4 Feb 2013","19 Feb 2013","2013","10","1","11","U","","0","0.00","2.41"
"158549","4 Feb 2013","18 Mar 2013","2013","4","26","30","N","N","0","0.00","4.40"
"158550","4 Feb 2013","4 Feb 2013","2013","0","0","0","N","N","0","0.00","0.50"
"158551","4 Feb 2013","17 Mar 2014","2014","105","166","271","Y","","1","0.00","3.11"
"158552","4 Feb 2013","4 Feb 2013","2013","0","0","0","N","N","0","0.00","0.00"
"158568","4 Feb 2013","4 Feb 2013","2013","0","0","0","N","N","0","0.00","0.00"
"158570","4 Feb 2013","5 Mar 2013","2013","20","1","21","N","N","0","0.00","3.23"
"158571","4 Feb 2013","19 Jul 2013","2013","96","23","119","U","","0","0.00","3.32"
"158572","4 Feb 2013","21 Feb 2013","2013","2","11","13","N","N","0","0.00","1.46"
"158573","4 Feb 2013","6 Feb 2013","2013","1","1","2","N","N","0","0.00","2.06"
"158574","4 Feb 2013","14 Feb 2013","2013","8","0","8","N","N","0","0.00","0.41"
"158575","4 Feb 2013","4 Feb 2013","2013","0","0","0","U","","0","0.00","0.41"
"158576","4 Feb 2013","7 Feb 2013","2013","3","0","3","N","N","0","0.00","4.39"
"158577","5 Feb 2013","7 Mar 2013","2013","1","21","22","R","","1","0.00","0.00"
"158578","5 Feb 2013","18 Mar 2013","2013","1","28","29","N","","0","0.00","0.25"
"158579","5 Feb 2013","1 May 2013","2013","25","36","61","Y","","1","0.00","1.90"
"158580","5 Feb 2013","12 Mar 2013","2013","0","25","25","U","","0","0.00","0.82"
"158581","5 Feb 2013","19 Feb 2013","2013","5","5","10","U","","0","0.00","0.16"
"158582","5 Feb 2013","26 Jun 2013","2013","65","36","101","N","N","0","0.00","1.48"
"158583","5 Feb 2013","16 Apr 2013","2013","7","43","50","Y","","3","0.00","0.08"
"158584","5 Feb 2013","7 Mar 2013","2013","8","14","22","Y","N","1","0.00","3.55"
"158585","5 Feb 2013","29 May 2013","2013","17","64","81","N","N","0","0.00","1.90"
"158586","5 Feb 2013","25 Apr 2013","2013","31","26","57","N","N","0","0.00","2.97"
"158587","5 Feb 2013","20 Mar 2013","2013","0","31","31","N","N","0","0.00","0.41"
"158588","5 Feb 2013","13 Feb 2013","2013","5","1","6","U","","0","0.00","0.50"
"158589","5 Feb 2013","10 Apr 2013","2013","5","20","25","","N","0","0.00","0.33"
