"Call No","Closed Date","Chargeable","Days With APT","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"158276","10 Feb 2014","N","282","N","0","0.00","227.34"
"158346","27 Jan 2014","Y","198","N","0","0.00","7.75"
"158358","14 Apr 2014","R","322","N","0","0.00","0.00"
"158368","10 Dec 2014","N","28","N","0","0.00","3.73"
"158369","18 Feb 2014","N","186","N","0","0.00","4.37"
"158551","17 Mar 2014","Y","105","","1","0.00","3.11"
"158598","2 Jul 2014","U","322","","0","0.00","1.15"
"158613","30 Jan 2014","U","256","","0","0.00","1.32"
"158631","31 Jan 2014","U","255","Y","0","0.00","10.33"
"158669","8 Apr 2014","Y","248","N","0","0.00","9.38"
"158746","21 Mar 2014","U","284","","0","0.00","2.23"
"158790","15 Jan 2014","Y","6","N","3","0.00","6.45"
"158832","31 Jan 2014","Y","20","N","4","0.00","2.90"
"158851","5 Mar 2014","Y","246","N","1","0.00","2.56"
"158993","28 Jan 2014","U","234","Y","0","0.00","3.50"
"159047","2 Sep 2014","N","386","N","0","0.00","5.16"
"159067","2 Sep 2014","R","385","Y","0","0.00","11.57"
"159127","27 Oct 2014","U","420","","0","0.00","6.24"
"159161","1 Sep 2014","Y","379","Y","0","0.00","0.00"
"159167","28 Apr 2014","Y","289","Y","0","0.00","0.00"
"159184","8 Apr 2014","N","275","","0","0.00","0.00"
"159227","28 May 2014","U","260","","0","0.00","1.07"
"159234","26 Mar 2014","U","256","N","0","0.00","0.08"
"159235","5 Nov 2014","U","330","","0","0.00","14.45"
"159239","9 Sep 2014","N","336","N","0","0.00","4.90"
"159245","30 Apr 2014","F","5","","1","0.00","3.71"
"159251","8 Apr 2014","R","120","","1","0.00","2.07"
"159285","9 Jul 2014","Y","187","N","9","0.00","5.49"
"159315","27 Oct 2014","N","407","N","0","0.00","2.90"
"159317","7 Nov 2014","R","292","N","20","0.00","15.12"
"159395","11 Feb 2014","Y","75","","1","0.00","11.81"
"159417","4 Feb 2014","Y","124","","2","0.00","0.58"
"159462","30 Apr 2014","N","268","N","0","0.00","0.57"
"159485","18 Feb 2014","U","219","Y","0","0.00","8.00"
"159488","28 Jan 2014","U","204","Y","0","0.00","102.78"
"159498","10 Feb 2014","Y","212","N","0","0.00","0.24"
"159536","3 Mar 2014","U","225","Y","0","0.00","36.66"
"159552","2 Apr 2014","N","219","N","0","0.00","13.66"
"159554","6 Jan 2014","N","184","Y","0","0.00","0.00"
"159563","28 May 2014","N","98","N","0","0.00","8.38"
"159571","10 Feb 2014","N","208","N","0","0.00","0.00"
"159578","20 Feb 2014","Y","133","N","2","0.00","15.37"
"159603","18 Feb 2014","Y","211","N","52","0.00","0.00"
"159604","5 Mar 2014","N","191","N","0","0.00","0.41"
"159634","29 Oct 2014","U","210","","0","0.00","2.38"
"159640","21 Jan 2014","N","188","Y","0","0.00","0.33"
"159656","8 Apr 2014","N","243","","0","0.00","0.00"
"159721","9 Jan 2014","Y","116","N","0","0.00","66.47"
"159759","31 Jan 2014","U","189","Y","0","0.00","1.66"
"159772","3 Jul 2014","N","297","N","0","0.00","775.26"
"159781","20 Jan 2014","Y","165","N","0","0.00","0.00"
"159784","13 Oct 2014","Y","219","","4","0.00","6.98"
"159857","10 Sep 2014","U","304","N","0","0.00","5.00"
"159862","16 Apr 2014","Y","16","N","2","0.00","1.99"
"159889","19 Jun 2014","N","279","N","0","0.00","0.58"
"159893","28 Jan 2014","Y","177","Y","0","0.00","0.00"
"159902","9 Jan 2014","Y","162","Y","0","0.00","0.00"
"159963","15 Jan 2014","Y","15","N","5","0.00","4.30"
"160054","15 Jan 2014","Y","67","N","0","0.00","5.83"
"160062","11 Jun 2014","U","204","","0","0.00","2.00"
"160083","13 Aug 2014","N","303","N","0","0.00","6.20"
"160087","30 Jul 2014","N","264","N","0","0.00","4.16"
"160097","6 Feb 2014","Y","122","N","15","0.00","25.24"
"160099","16 Sep 2014","Y","266","","3","0.00","12.08"
"160109","22 Oct 2014","U","321","","0","0.00","3.16"
"160127","21 Jan 2014","U","156","Y","0","0.00","56.83"
"160140","19 Jun 2014","N","262","N","0","0.00","0.41"
"160171","10 Apr 2014","Y","24","N","5","0.00","7.07"
"160181","11 Dec 2014","U","384","Y","0","0.00","4.75"
"160217","28 May 2014","Y","104","Y","8","0.00","8.11"
"160227","7 Feb 2014","R","163","N","0","0.00","0.16"
"160268","12 Feb 2014","N","144","N","0","0.00","0.00"
"160291","26 Feb 2014","N","134","N","0","0.00","3.74"
"160353","12 Feb 2014","R","157","N","4","0.00","1.00"
"160356","30 Apr 2014","U","211","","0","0.00","3.99"
"160367","2 Jun 2014","N","234","N","0","0.00","17.58"
"160368","5 Feb 2014","Y","38","N","1","0.00","11.47"
"160432","14 Oct 2014","Y","310","N","0","0.00","476.05"
"160479","19 Aug 2014","U","229","N","0","0.00","1.00"
"160485","8 Jan 2014","U","51","","0","0.00","0.00"
"160498","22 Jan 2014","U","44","","0","0.00","5.75"
"160500","27 May 2014","N","219","N","0","0.00","26.08"
