"Call No","Closed Date","Chargeable","Days With APT","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"170102","4 Jan 2016","N","0","N","0","0.00","0.66"
"170114","12 Jan 2016","N","2","N","0","0.00","0.99"
"170118","24 Feb 2016","Y","20","N","2","0.00","1.57"
"170152","26 Jan 2016","Y","21","Y","2","1.00","6.00"
"170158","5 Jan 2016","R","19","N","2","0.00","0.65"
"170160","7 Jan 2016","U","0","","0","0.00","0.58"
"170161","21 Jan 2016","N","0","N","0","0.00","0.82"
"170163","4 Feb 2016","N","2","N","0","0.00","3.38"
"170164","27 Jan 2016","U","0","","0","0.00","0.16"
"170165","27 Jan 2016","U","0","","0","0.00","0.41"
"170166","21 Jan 2016","Y","30","","2","1.00","0.00"
"170169","19 Jan 2016","Y","12","N","2","0.00","1.23"
"170171","8 Jan 2016","N","4","N","0","0.00","1.65"
"170173","27 Jan 2016","N","2","N","0","0.00","0.66"
"170178","11 Jan 2016","U","4","","0","0.00","1.74"
"170181","4 Jan 2016","U","15","","0","0.00","0.33"
"170182","6 Jan 2016","N","0","N","0","0.00","0.66"
"170183","13 Jan 2016","Y","6","N","1","0.00","1.16"
"170190","5 Jan 2016","U","0","","0","0.00","0.33"
"170192","4 Jan 2016","N","17","N","0","0.00","7.82"
"170195","27 Jan 2016","N","0","N","0","0.00","0.00"
"170196","12 Jan 2016","N","23","N","0","0.00","1.07"
"170199","22 Feb 2016","Y","49","","1","0.00","2.00"
"170200","18 Jan 2016","Y","26","","2","0.00","1.00"
"170204","13 Jan 2016","N","0","N","0","0.00","0.41"
"170205","6 Jan 2016","N","0","N","0","0.00","0.16"
"170209","3 Feb 2016","N","1","N","0","0.00","1.66"
"170214","8 Feb 2016","Y","20","","2","0.00","5.65"
"170215","11 Jan 2016","Y","21","N","2","0.00","1.39"
"170220","3 Feb 2016","N","2","N","0","0.00","0.73"
"170221","6 Jan 2016","N","0","N","0","0.00","0.16"
"170222","27 Jan 2016","N","0","N","0","0.00","0.00"
"170223","25 Jan 2016","N","31","","0","0.00","0.50"
"170231","12 Jan 2016","U","0","","0","0.00","0.57"
"170233","3 Feb 2016","N","2","N","0","0.00","1.16"
"170235","8 Jan 2016","N","2","N","0","0.00","0.32"
"170240","11 Feb 2016","N","8","N","0","0.00","1.07"
"170241","20 Jan 2016","U","2","","0","0.00","0.82"
"170242","3 Feb 2016","N","3","N","0","0.00","0.83"
"170243","5 Jan 2016","U","4","","0","0.00","0.16"
"170244","27 Jan 2016","N","0","N","0","0.00","0.16"
"170259","20 Jan 2016","U","24","","0","0.00","0.25"
"170260","5 Jan 2016","U","16","","0","0.00","0.00"
"170261","5 Jan 2016","U","16","","0","0.00","0.00"
"170262","5 Jan 2016","U","16","","0","0.00","0.00"
"170263","5 Jan 2016","U","16","","0","0.00","0.00"
"170264","5 Jan 2016","U","16","","0","0.00","0.00"
"170265","3 Feb 2016","U","2","","0","0.00","0.25"
"170267","13 Jan 2016","N","1","N","0","0.00","0.66"
"170270","17 Feb 2016","N","32","N","0","0.00","2.06"
"170276","3 Feb 2016","N","1","N","0","0.00","0.33"
"170279","3 Feb 2016","N","1","N","0","0.00","0.66"
"170280","5 Jan 2016","U","14","","0","0.00","1.07"
"170282","21 Jan 2016","Y","17","N","8","0.00","1.33"
"170286","13 Jan 2016","N","2","N","0","0.00","0.66"
"170287","1 Feb 2016","N","12","N","0","0.00","0.57"
"170295","3 Feb 2016","N","1","N","0","0.00","0.66"
"170296","21 Jan 2016","U","8","","0","0.00","2.00"
"170298","12 Jan 2016","N","1","N","0","0.00","0.33"
"170299","3 Feb 2016","N","1","N","0","0.00","0.41"
"170300","5 Jan 2016","U","0","","0","0.00","0.16"
"170301","6 Jan 2016","N","8","N","0","0.00","0.16"
"170302","22 Jan 2016","U","0","","0","0.00","0.50"
"170307","20 Jan 2016","N","21","N","0","0.00","4.47"
"170311","12 Jan 2016","N","0","N","0","0.00","0.16"
"170312","7 Jan 2016","R","15","N","2","1.00","0.00"
"170317","27 Jan 2016","N","8","N","0","0.00","0.66"
"170318","4 Jan 2016","N","11","N","0","0.00","1.08"
"170321","10 Feb 2016","N","11","N","0","0.00","0.83"
"170323","3 Feb 2016","N","0","N","0","0.00","0.66"
"170325","3 Feb 2016","N","1","N","0","0.00","0.91"
"170331","7 Jan 2016","Y","15","Y","0","0.00","0.00"
"170332","18 Jan 2016","Y","8","N","0","0.00","0.75"
"170336","7 Jan 2016","U","9","","0","0.00","1.58"
"170338","7 Jan 2016","U","13","","0","0.00","0.74"
"170339","17 Feb 2016","U","9","","0","0.00","0.49"
"170340","5 Jan 2016","R","1","","8","0.00","0.00"
"170341","4 Feb 2016","U","2","","0","0.00","0.16"
"170351","4 Jan 2016","U","1","","0","0.00","0.50"
"170353","19 Jan 2016","U","10","","0","0.00","2.08"
"170355","27 Jan 2016","N","2","N","0","0.00","0.00"
"170358","13 Jan 2016","N","0","N","0","0.00","0.08"
"170359","10 Feb 2016","U","0","","0","0.00","0.49"
"170369","10 Feb 2016","U","2","","0","0.00","0.00"
"170372","5 Jan 2016","U","2","","0","0.00","0.50"
"170375","5 Jan 2016","N","1","N","0","0.00","0.41"
"170377","7 Jan 2016","N","0","N","0","0.00","0.75"
"170378","18 Jan 2016","Y","1","N","0","0.00","0.75"
"170379","10 Feb 2016","N","17","N","0","0.00","2.08"
"170380","15 Jan 2016","U","0","","0","0.00","0.25"
"170381","22 Jan 2016","N","5","N","0","0.00","1.08"
"170383","12 Jan 2016","N","15","N","0","0.00","0.49"
"170384","12 Jan 2016","U","2","","0","0.00","1.08"
"170386","12 Jan 2016","R","13","N","30","3.00","1.75"
"170388","10 Feb 2016","N","1","N","0","0.00","0.00"
"170389","21 Jan 2016","N","0","N","0","0.00","0.00"
"170391","10 Feb 2016","U","4","","0","0.00","0.83"
"170393","8 Feb 2016","N","33","N","0","0.00","0.08"
"170396","1 Feb 2016","N","27","N","0","0.00","0.00"
"170397","17 Feb 2016","N","3","N","0","0.00","0.00"
"170398","13 Jan 2016","N","5","N","0","0.00","1.98"
"170399","17 Feb 2016","N","3","N","0","0.00","1.82"
"170400","3 Jan 2016","N","6","N","0","0.00","0.08"
"170401","3 Feb 2016","N","3","N","0","0.00","1.24"
"170403","18 Jan 2016","N","14","N","0","0.00","0.00"
"170404","17 Feb 2016","U","3","","0","0.00","0.41"
"170405","14 Jan 2016","U","2","","0","0.00","1.57"
"170407","6 Jan 2016","N","0","N","0","0.00","0.75"
"170410","12 Jan 2016","N","0","N","0","0.00","0.00"
"170411","3 Jan 2016","N","2","N","0","0.00","0.08"
"170412","27 Jan 2016","N","0","N","0","0.00","0.75"
"170414","6 Jan 2016","N","0","N","0","0.00","0.33"
"170415","5 Jan 2016","N","0","N","0","0.00","0.25"
"170416","1 Feb 2016","N","3","N","0","0.00","0.66"
"170417","4 Jan 2016","U","0","","0","0.00","0.83"
"170418","5 Jan 2016","U","0","","0","0.00","0.33"
"170419","5 Jan 2016","U","0","","0","0.00","0.16"
"170421","10 Feb 2016","N","0","N","0","0.00","0.41"
"170423","9 Feb 2016","N","15","N","0","0.00","0.75"
"170424","5 Jan 2016","U","0","","0","0.00","0.25"
"170425","7 Jan 2016","U","1","","0","0.00","0.83"
"170426","12 Jan 2016","N","1","N","0","0.00","0.50"
"170427","12 Jan 2016","N","5","N","0","0.00","0.57"
"170428","25 Jan 2016","N","10","N","0","0.00","2.48"
"170429","17 Feb 2016","N","0","N","0","0.00","0.25"
"170430","17 Feb 2016","N","1","N","0","0.00","0.33"
"170431","7 Jan 2016","N","0","N","0","0.00","0.58"
"170432","5 Jan 2016","N","0","N","0","0.00","0.16"
"170433","5 Jan 2016","N","0","N","0","0.00","0.41"
"170434","24 Feb 2016","N","1","","0","0.00","0.83"
"170435","5 Feb 2016","U","0","","0","0.00","0.16"
"170436","5 Jan 2016","N","0","N","0","0.00","0.00"
"170439","25 Jan 2016","N","5","N","0","0.00","2.90"
"170440","10 Feb 2016","N","2","N","0","0.00","0.82"
"170441","12 Jan 2016","U","1","","0","0.00","0.50"
"170442","8 Jan 2016","U","2","","0","0.00","0.57"
"170444","5 Jan 2016","U","0","","0","0.00","0.00"
"170445","5 Jan 2016","U","0","","0","0.00","0.00"
"170446","5 Jan 2016","U","0","","0","0.00","0.00"
"170447","5 Jan 2016","U","0","","0","0.00","0.00"
"170448","5 Jan 2016","U","0","","0","0.00","0.00"
"170449","5 Jan 2016","U","0","","0","0.00","0.00"
"170450","5 Jan 2016","U","0","","0","0.00","0.00"
"170451","5 Jan 2016","N","0","N","0","0.00","0.16"
"170452","5 Jan 2016","U","0","","0","0.00","0.00"
"170453","10 Feb 2016","N","0","N","0","0.00","0.33"
"170454","7 Jan 2016","N","1","N","0","0.00","1.08"
"170455","7 Jan 2016","U","2","","0","0.00","2.25"
"170456","5 Jan 2016","U","0","","0","0.00","0.66"
"170458","5 Jan 2016","N","0","N","0","0.00","0.08"
"170460","8 Jan 2016","U","1","","0","0.00","1.32"
"170464","26 Jan 2016","Y","0","N","0","0.00","0.00"
"170465","17 Feb 2016","U","1","","0","0.00","0.33"
"170466","24 Feb 2016","N","21","N","0","0.00","0.00"
"170468","28 Jan 2016","U","1","","0","0.00","0.99"
"170471","6 Jan 2016","U","0","","0","0.00","0.00"
"170472","6 Jan 2016","U","0","","0","0.00","0.00"
"170473","6 Jan 2016","U","0","","0","0.00","0.00"
"170474","6 Jan 2016","U","0","","0","0.00","0.00"
"170475","10 Feb 2016","N","15","N","0","0.00","1.22"
"170476","6 Jan 2016","N","0","N","0","0.00","0.16"
"170477","4 Feb 2016","B","13","","2","0.00","1.91"
"170478","18 Feb 2016","Y","12","","2","0.00","3.15"
"170479","6 Jan 2016","N","0","N","0","0.00","0.00"
"170480","8 Jan 2016","N","2","N","0","0.00","0.41"
"170481","16 Feb 2016","Y","6","N","2","0.00","0.16"
"170482","27 Jan 2016","N","13","N","0","0.00","3.15"
"170483","15 Jan 2016","U","5","","0","0.00","0.50"
"170484","13 Jan 2016","N","3","N","0","0.00","3.24"
"170485","28 Jan 2016","N","3","N","0","0.00","2.41"
