"Product Code","Call No","Closed Date","Chargeable","Days With APT","Project Work"
"MS","166739","8 Jul 2015","Y","56","N"
"MS","167031","1 Jul 2015","Y","56","Y"
"MS","167707","1 Sep 2015","C","56",""
"MS","168664","15 Dec 2015","Y","56","N"
"MS","168951","25 Nov 2015","N","56",""
"MS.WEB","166166","11 May 2015","Y","57",""
"SP","167300","14 Oct 2015","Y","57",""
"INFORMER","167633","20 Aug 2015","Y","57",""
"SP","167908","22 Oct 2015","Y","57","N"
"MS","164980","23 Jan 2015","N","58","N"
"SP","166630","11 Jun 2015","U","58",""
"MS","166767","25 Nov 2015","Y","58","N"
"MS","167747","27 Aug 2015","Y","58",""
"MS","164547","6 Feb 2015","Y","59","N"
"MS","165065","5 Mar 2015","Y","59",""
"MS","165250","25 Mar 2015","N","59","N"
"SPECTRUM","168240","3 Nov 2015","U","59",""
"MS","165098","30 Mar 2015","R","60","N"
"MS","166418","7 Jul 2015","U","60",""
"PWF","167740","6 Oct 2015","R","60","N"
"INFORMER","168049","23 Sep 2015","U","60",""
"MS","169079","10 Dec 2015","N","60","Y"
"MS","165778","31 Jul 2015","Y","61","N"
"UNIVERSE","165955","27 May 2015","U","61",""
"MS","166186","14 May 2015","N","61","N"
"WEBDE","166546","22 Jul 2015","N","61","N"
"UNIVERSE","166802","5 Aug 2015","N","61","N"
"MS","166853","17 Aug 2015","R","61","N"
"MS","166934","29 Jul 2015","N","61","N"
"MS","167267","30 Jul 2015","U","61",""
"MS","167868","4 Nov 2015","B","61","N"
"WEBDE","164608","23 Jan 2015","N","62","N"
"VISAGE","164807","12 Jan 2015","U","62",""
"ZZ","167452","6 Aug 2015","U","62",""
"MS","164103","12 Feb 2015","Y","63","N"
"MS","165073","12 Feb 2015","R","63",""
"PWF","165080","10 Feb 2015","R","63","Y"
"MS","166021","9 Jul 2015","N","63","N"
"SP","167186","24 Jul 2015","U","63",""
"MS","167722","8 Sep 2015","Y","63","N"
"MS","168167","16 Dec 2015","U","63",""
"MS.WEB","159086","10 Feb 2015","N","64","N"
"VISAGE","164504","13 Apr 2015","Y","64",""
"MS","164748","4 Feb 2015","N","64","N"
"MS.WEB","165875","26 Jun 2015","U","64",""
"MS","166026","11 May 2015","N","64","N"
"MS","167812","28 Oct 2015","U","64",""
"MS","165020","8 Feb 2015","N","65","N"
"MS","165838","8 Jun 2015","N","65","N"
"VISAGE","167231","30 Jul 2015","U","65",""
"MS","167674","2 Sep 2015","Y","65",""
"MS","167813","19 Oct 2015","Y","65",""
"MS","168171","23 Nov 2015","Y","65",""
"MS.WEB","168473","30 Oct 2015","R","65",""
"MS","165205","27 May 2015","U","66",""
"SP","167806","12 Oct 2015","U","66",""
"MS","167810","9 Sep 2015","Y","66",""
"MS.WEB","167830","14 Oct 2015","B","66",""
"PWF","164833","18 Nov 2015","Y","67","Y"
"MS","165375","18 May 2015","Y","67",""
"MS","165459","22 Apr 2015","N","67","N"
"MS","167030","16 Jul 2015","Y","67","Y"
"MS","167056","8 Sep 2015","U","67",""
"MS","167744","7 Sep 2015","U","67",""
"MS","167745","11 Sep 2015","C","67",""
"SPECTRUM","168109","7 Oct 2015","N","67","N"
"MS","168333","10 Dec 2015","U","67","N"
"MS","168740","30 Nov 2015","N","67","N"
"MS","163859","28 Jan 2015","Y","68","N"
"MS","164732","9 Jan 2015","Y","68","N"
"MS","165187","6 Mar 2015","N","68","N"
"MS","166660","21 Jul 2015","Y","68",""
"SP","166807","11 Aug 2015","R","68",""
"MS","167951","25 Nov 2015","Y","68","N"
"MS","160828","25 Feb 2015","Y","69","N"
"MS","163624","25 Nov 2015","Y","69",""
"MS","165096","14 May 2015","N","69","N"
"SPECTRUM","165534","30 Jun 2015","R","69",""
"MS.WEB","167058","22 Jul 2015","U","69","Y"
"MS","167143","22 Sep 2015","Y","69","Y"
"MS","165195","2 Mar 2015","N","70","N"
"MS","165928","14 Oct 2015","N","70","N"
"MS","166297","22 Jul 2015","Y","70","N"
"MS","168657","19 Nov 2015","N","70","N"
"MS","168672","25 Nov 2015","N","70","N"
"MS","165296","11 May 2015","Y","71","N"
"UNIVERSE","301920","16 Feb 2015","N","71","N"
"MS","167345","8 Oct 2015","U","71",""
"UNIVERSE","168014","15 Dec 2015","U","71",""
"MS","168220","9 Dec 2015","N","71","N"
"MS","164829","30 Jan 2015","Y","72","N"
"SP","165870","14 May 2015","U","72",""
"MS","165900","14 May 2015","N","72",""
"PWF","166680","25 Jun 2015","N","72","N"
"MS","166858","7 Aug 2015","U","72",""
"MS","167032","23 Jul 2015","Y","72","Y"
"MS","167743","11 Sep 2015","Y","72","N"
"MS","168716","2 Dec 2015","N","72","N"
"MS","163032","28 Apr 2015","Y","73","N"
"MS","165674","29 Apr 2015","N","73","N"
"MS","165850","12 May 2015","N","73","N"
"MS","166024","26 Aug 2015","N","73","N"
"WEBDE","166977","28 Jul 2015","U","73",""
"MS","167378","27 Nov 2015","U","73",""
"MS","167860","22 Sep 2015","Y","73","Y"
"MS","168530","1 Dec 2015","N","73","N"
"MS","163553","2 Mar 2015","Y","74","N"
"MS","163693","24 Feb 2015","N","74","N"
